index,rectype,dato,klokke,start,lat,lon,distdrive,velocity,dry_spreader_on_km,dry_spread_w_cm,dry_spread_dose,liquid_material_percent,total_dry_kg,total_dry_liquid_931002,dry_spreader_on_bool,ploughworks_bool,liquid_spread_w_cm,liquid_spread_dose,total_liquid_liter,liquid_spreader_on_km,liquid_spreader_on_bool,vegref,tid,vehicleid,fylke,vegkat,vegstat,vegnr,hp,m,filename
0,931108,20161105,041719,Begin,59.230559,9.856574000000025,0.0,33.789,0,0,0,,0,,0,1,0,0,0,0,0,08-FV-215-1-10702,2016-11-05 04:17:19,19929,08,F,V,215,1,10702,dau-eks-0830-grenland.txt
1,931108,20161105,041802,,59.23105999999986,9.864079000000014,0.44111701251223295,30.570999999999998,0,0,0,,0,,0,1,0,0,0,0,0,08-FV-215-1-11155,2016-11-05 04:18:02,19929,08,F,V,215,1,11155,dau-eks-0830-grenland.txt
2,931108,20161105,041913,,59.22788199999976,9.874807999999987,1.14727726874405,40.225,0,0,0,,0,,0,1,0,0,0,0,0,08-FV-215-1-11898,2016-11-05 04:19:13,19929,08,F,V,215,1,11898,dau-eks-0830-grenland.txt
3,931108,20161105,042037,,59.220503999999885,9.878125000000008,2.0003891804023,0.0,0,0,0,,0,,0,1,0,0,0,0,0,07-FV-215-1-6453,2016-11-05 04:20:37,19929,07,F,V,215,1,6453,dau-eks-0830-grenland.txt
4,931108,20161105,042053,,59.220650999999854,9.877948000000009,2.02009609591782,9.654,0,0,0,,0,,0,1,0,0,0,0,0,07-FV-215-1-6473,2016-11-05 04:20:53,19929,07,F,V,215,1,6473,dau-eks-0830-grenland.txt
5,931108,20161105,042109,,59.22068599999997,9.877984000000026,2.04622230904183,11.263,0,0,0,,0,,0,1,0,0,0,0,0,07-FV-215-1-6475,2016-11-05 04:21:09,19929,07,F,V,215,1,6475,dau-eks-0830-grenland.txt
6,931108,20161105,042125,,59.22070100000009,9.878025999999979,2.09731270545823,19.308,0,0,0,,0,,0,1,0,0,0,0,0,07-FV-215-1-6475,2016-11-05 04:21:25,19929,07,F,V,215,1,6475,dau-eks-0830-grenland.txt
7,931108,20161105,042203,,59.22399500000005,9.8758,2.4855339314758,38.616,0,0,0,,0,,0,1,0,0,0,0,0,08-FV-215-1-12345,2016-11-05 04:22:03,19929,08,F,V,215,1,12345,dau-eks-0830-grenland.txt
8,931108,20161105,042219,,59.22565400000002,9.876130000000025,2.67204590769656,43.443000000000005,0,0,0,,0,,0,1,0,0,0,0,0,08-FV-215-1-12157,2016-11-05 04:22:19,19929,08,F,V,215,1,12157,dau-eks-0830-grenland.txt
9,931108,20161105,042300,,59.22907199999983,9.87199999999999,3.1193572626002903,45.052,0,0,0,,0,,0,1,0,0,0,0,0,08-FV-215-1-11688,2016-11-05 04:23:00,19929,08,F,V,215,1,11688,dau-eks-0830-grenland.txt
